CountyId,UtilityId,CountyName,CountyState,CountyStatus,OutageCount,CustomerCount,outage_percentage
1586,0,Harrison,0,#014FA1,13,35641,0.03647484638478157
1587,0,Morris,0,#004FA2,1,7893,0.012669453946534905
1589,0,Panola,0,#004FA2,0,16004,0.0
1590,0,Shelby,0,#0250A0,24,16026,0.1497566454511419
1591,0,Titus,0,#004FA2,0,18596,0.0
1592,0,Upshur,0,#004FA2,1,25124,0.003980257920713263
1593,0,Wheeler,0,#004FA2,0,6504,0.0
1637,0,Deaf Smith,0,#004FA2,0,13393,0.0
1638,0,Waller,0,#0250A0,66,44791,0.1473510303409167
1639,0,Madison,0,#0150A1,6,8146,0.07365578197888534
1653,0,Lamb,0,#004FA2,0,6610,0.0
1657,0,Hutchinson,0,#0150A1,11,13255,0.08298755186721991
1667,0,Crosby,0,#004FA2,2,6497,0.030783438510081577
1668,0,Floyd,0,#004FA2,0,1858,0.0
1671,0,Hardin,0,#004FA2,0,30768,0.0
1676,0,Carson,0,#004FA2,1,4571,0.02187705097352877
1679,0,Walker,0,#004FA2,9,34775,0.02588066139468009
1701,0,San Jacinto,0,#004FA2,0,19221,0.0
1715,0,Austin,0,#004FA2,0,22646,0.0
1726,0,Hartley,0,#004FA2,1,4317,0.02316423442205235
1734,0,Sherman,0,#004FA2,0,3215,0.0
1762,0,Hansford,0,#014FA1,3,4903,0.061187028349989805
1765,0,Yoakum,0,#004FA2,1,7213,0.013863856924996535
1771,0,Garza,0,#004FA2,1,4171,0.02397506593143131
1800,0,Cochran,0,#004FA2,0,1771,0.0
1801,0,Ochiltree,0,#004FA2,1,7738,0.012923235978288964
1804,0,Lavaca,0,#014FA1,4,12324,0.03245699448231094
1805,0,Moore,0,#004FA2,0,12125,0.0
1808,0,Parmer,0,#426F60,258,6379,4.044521084809531
1822,0,Swisher,0,#004FA2,0,4979,0.0
1830,0,Bexar,0,#004FA2,15,947300,0.0015834476934445266
1854,0,San Saba,0,#004FA2,0,3311,0.0
1858,0,Lipscomb,0,#004FA2,0,3650,0.0
1861,0,Oldham,0,#004FA2,0,1504,0.0
1937,0,Roberts,0,#05519D,6,2095,0.2863961813842482
1944,0,Fayette,0,#004FA2,0,3304,0.0
1955,0,Lubbock,0,#004FA2,16,126641,0.012634139022907274
1959,0,Bailey,0,#004FA2,0,2620,0.0
1971,0,Hamilton,0,#A79000,572,4199,13.622291021671826
1972,0,Hemphill,0,#004FA2,0,3728,0.0
2057,0,Jefferson,0,#004FA2,7,121063,0.0057821134450657926
2058,0,Orange,0,#004FA2,6,41742,0.014374011786689664
2092,0,Newton,0,#004FA2,0,2014,0.0
2095,0,Armstrong,0,#014FA1,1,1978,0.05055611729019212
2145,0,Burleson,0,#004FA2,0,13236,0.0
2239,0,Washington,0,#004FA2,1,19093,0.00523752160477662
2314,0,Castro,0,#004FA2,0,7872,0.0
2415,0,Mason,0,#004FA2,0,3958,0.0
2445,0,Comal,0,#004FA2,6,102544,0.0058511468247776565
2523,0,Brazos,0,#004FA2,0,91716,0.0
2525,0,Hays,0,#014FA1,68,118151,0.05755346971248656
2548,0,Kendall,0,#0150A1,20,22420,0.08920606601248886
2554,0,Llano,0,#004FA2,1,21033,0.004754433509247373
2555,0,Blanco,0,#004FA2,0,11503,0.0
2588,0,Gillespie,0,#004FA2,0,17967,0.0
2589,0,Kerr,0,#004FA2,0,35624,0.0
3167,0,Bandera,0,#004FA2,0,17359,0.0
3168,0,Marion,0,#004FA2,0,8163,0.0
3704,0,Terrell,0,#004FA2,0,1155,0.0
3720,0,King,0,#0250A0,1,967,0.1034126163391934
4169,0,El Paso,0,#004FA2,24,350960,0.006838386140870754
4176,0,Hudspeth,0,#0E5694,22,2512,0.8757961783439491
5678,0,SAN,0,#004FA2,0,1,0.0
5811,0,district,0,#004FA2,0,547,0.0
5812,0,Board District,0,#004FA2,0,521,0.0
6322,0,PALO_PINTO,0,#004FA2,0,7174,0.0
6424,0,De Soto,0,#004FA2,0,1,0.0
6425,0,Sabine,0,#004FA2,0,9941,0.0
6426,0,San Augustine,0,#004FA2,0,6133,0.0
6570,0,Juárez,0,#004FA2,0,55,0.0
6616,0,De Witt,0,#004FA2,0,2088,0.0
6626,0,San Juan,0,#004FA2,0,1,0.0
